state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Punjab,Amritsar,Rayya,Tomato,Hybrid,FAQ,05-09-2025,3800,3800.0,3800.0
Punjab,Fazilka,Fazilka,Tomato,Other,FAQ,05-09-2025,4000,6000.0,5000.0
Punjab,Hoshiarpur,Garh Shankar,Tomato,Deshi,Non-FAQ,05-09-2025,2500,3000.0,2800.0
Punjab,Jalandhar,Jalandhar City(Jalandhar),Tomato,Other,FAQ,05-09-2025,1500,3500.0,2500.0
Punjab,Ludhiana,Jagraon,Tomato,Other,FAQ,05-09-2025,2200,2600.0,2400.0
Punjab,Ludhiana,Ludhiana,Tomato,Other,FAQ,05-09-2025,1500,2500.0,2000.0
Punjab,Pathankot,Pathankot,Tomato,Tomato,Non-FAQ,05-09-2025,2000,2200.0,2200.0
Punjab,Hoshiarpur,Tanda Urmur,Tomato,Other,FAQ,05-09-2025,4000,5000.0,4500.0
Punjab,Moga,Baghapurana,Tomato,Local,FAQ,05-09-2025,3500,4500.0,4000.0
Punjab,Mohali,Kharar,Tomato,Tomato,Non-FAQ,05-09-2025,3000,4000.0,3500.0
Punjab,Patiala,Nabha,Tomato,Other,FAQ,05-09-2025,1700,2800.0,2200.0
Punjab,Sangrur,Lehra Gaga,Tomato,Other,Non-FAQ,05-09-2025,5000,5000.0,5000.0
Punjab,Fazilka,Jalalabad,Tomato,Other,FAQ,05-09-2025,3000,3400.0,3200.0
Punjab,Ferozpur,Mamdot,Tomato,Other,FAQ,05-09-2025,2800,3000.0,2900.0
Punjab,Ferozpur,Zira,Tomato,Local,FAQ,05-09-2025,3000,3500.0,3300.0
Punjab,Gurdaspur,Dera Baba Nanak,Tomato,Tomato,Non-FAQ,05-09-2025,1600,1800.0,1700.0
Punjab,Gurdaspur,Gurdaspur,Tomato,Other,FAQ,05-09-2025,2500,3000.0,2800.0
Punjab,Mansa,Mansa,Tomato,Tomato,Non-FAQ,05-09-2025,2000,3000.0,2500.0
Punjab,Mohali,Kurali,Tomato,Other,FAQ,05-09-2025,2700,2930.0,2800.0
Punjab,Patiala,Ghanaur,Tomato,Other,FAQ,05-09-2025,2000,3000.0,2500.0
Punjab,Gurdaspur,Dinanagar,Tomato,Tomato,FAQ,05-09-2025,3800,4200.0,4000.0
Punjab,Hoshiarpur,Mukerian,Tomato,Tomato,Non-FAQ,05-09-2025,2500,3500.0,3000.0
Punjab,Jalandhar,Lohian Khas,Tomato,Other,FAQ,05-09-2025,3000,3200.0,3100.0
Punjab,Ludhiana,Sahnewal,Tomato,Tomato,FAQ,05-09-2025,3750,3750.0,3750.0
Punjab,Moga,Moga,Tomato,Other,FAQ,05-09-2025,2000,3000.0,2500.0
Punjab,Nawanshahr,Nawan Shahar(Subzi Mandi),Tomato,Other,FAQ,05-09-2025,3400,3500.0,3450.0
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Tomato,Other,FAQ,05-09-2025,6400,6500.0,6450.0
Punjab,Tarntaran,Patti,Tomato,Other,FAQ,05-09-2025,3000,4000.0,3500.0
Punjab,Hoshiarpur,GarhShankar (Kotfatuhi),Tomato,Other,FAQ,05-09-2025,2500,3500.0,3000.0
Punjab,Patiala,Patran,Tomato,Other,FAQ,05-09-2025,2100,2500.0,2250.0
Punjab,Patiala,Samana,Tomato,Hybrid,FAQ,05-09-2025,4000,5000.0,4500.0
Haryana,Ambala,Shahzadpur,Tomato,Local,FAQ,05-09-2025,2000,3000.0,2000.0
Haryana,Faridabad,Ballabhgarh,Tomato,Other,FAQ,05-09-2025,2000,3500.0,3000.0
Haryana,Jhajar,Jhajjar,Tomato,Other,FAQ,05-09-2025,3800,4200.0,4000.0
Haryana,Kaithal,Pundri,Tomato,Other,FAQ,05-09-2025,2600,2900.0,2750.0
Haryana,Mewat,Punhana,Tomato,Other,FAQ,05-09-2025,3000,4000.0,3500.0
Haryana,Palwal,Hodal,Tomato,Hybrid,FAQ,05-09-2025,2000,2500.0,2200.0
Haryana,Panipat,Madlauda,Tomato,Other,FAQ,05-09-2025,3500,3700.0,3600.0
Haryana,Rewari,Rewari,Tomato,Other,Non-FAQ,05-09-2025,2000,3600.0,2800.0
Haryana,Bhiwani,Bhiwani,Tomato,Tomato,FAQ,05-09-2025,4102,4510.0,4236.0
Haryana,Fatehabad,Fatehabad,Tomato,Other,FAQ,05-09-2025,3000,3000.0,3000.0
Haryana,Gurgaon,Gurgaon,Tomato,Other,FAQ,05-09-2025,2000,3000.0,2500.0
Haryana,Hissar,Barwala(Hisar),Tomato,Other,FAQ,05-09-2025,3000,3500.0,3200.0
Haryana,Karnal,Indri,Tomato,Other,FAQ,05-09-2025,3000,3000.0,3000.0
Haryana,Rohtak,Meham,Tomato,Deshi,FAQ,05-09-2025,2500,2500.0,2500.0
Haryana,Sonipat,Ganaur,Tomato,Tomato,FAQ,05-09-2025,3000,3500.0,3200.0
Haryana,Ambala,Naraingarh,Tomato,Tomato,FAQ,05-09-2025,1200,3000.0,2500.0
Haryana,Gurgaon,Pataudi,Tomato,Other,Non-FAQ,05-09-2025,3000,4000.0,3500.0
Haryana,Gurgaon,Sohna,Tomato,Tomato,FAQ,05-09-2025,3000,4000.0,3500.0
Haryana,Mahendragarh-Narnaul,Narnaul,Tomato,Tomato,FAQ,05-09-2025,3000,3500.0,3500.0
Haryana,Panchkula,Barwala,Tomato,Other,FAQ,05-09-2025,3000,3500.0,3250.0
Haryana,Panchkula,Raipur Rai,Tomato,Other,FAQ,05-09-2025,3000,3200.0,3000.0
Haryana,Kaithal,Siwan,Tomato,Other,FAQ,05-09-2025,3900,4100.0,4000.0
Haryana,Kurukshetra,Shahabad,Tomato,Tomato,Non-FAQ,05-09-2025,2000,2700.0,2500.0
Haryana,Panipat,Samalkha,Tomato,Local,FAQ,05-09-2025,2000,2500.0,2200.0
Haryana,Rohtak,Rohtak,Tomato,Other,FAQ,05-09-2025,1000,2500.0,1500.0
Haryana,Yamuna Nagar,Jagadhri,Tomato,Other,FAQ,05-09-2025,2000,3200.0,2600.0
Haryana,Yamuna Nagar,Sadhaura,Tomato,Other,FAQ,05-09-2025,2000,7000.0,2500.0
Haryana,Hissar,Hansi,Tomato,Other,FAQ,05-09-2025,3000,4000.0,3500.0
Haryana,Mahendragarh-Narnaul,Narnaul,Tomato,Tomato,Non-FAQ,05-09-2025,2000,2000.0,2000.0
Haryana,Panipat,Panipat,Tomato,Other,FAQ,05-09-2025,1500,2500.0,2000.0
